Sector,Growth Rate,Year,Value
Manufacturing,HIGH,2029,220580.0
"Electricity, Gas and Water",LOW,2029,30585.0
"Electricity, Gas and Water",STEADY STATE,2029,33092.0
"Electricity, Gas and Water",HIGH,2029,36075.0
Construction,LOW,2029,80913.0
Construction,STEADY STATE,2029,87545.0
Construction,HIGH,2029,95438.0
"Wholesale & Retail Trade, Restaurants & hotels",LOW,2029,144350.0
"Wholesale & Retail Trade, Restaurants & hotels",STEADY STATE,2029,156181.0
"Wholesale & Retail Trade, Restaurants & hotels",HIGH,2029,170263.0
"Transport, Storage & Communication",LOW,2029,107556.0
"Transport, Storage & Communication",STEADY STATE,2029,116372.0
"Transport, Storage & Communication",HIGH,2029,126865.0
Real Estate,LOW,2029,124573.0
Real Estate,STEADY STATE,2029,134783.0
Real Estate,HIGH,2029,146937.0
"Finance, Insurance and Business services",LOW,2029,156632.0
"Finance, Insurance and Business services",STEADY STATE,2029,169470.0
"Finance, Insurance and Business services",HIGH,2029,184751.0
"Community, Social & Personal Services",LOW,2029,76132.0
"Community, Social & Personal Services",STEADY STATE,2029,82371.0
"Community, Social & Personal Services",HIGH,2029,89799.0
Government Activities,LOW,2029,436264.0
Government Activities,STEADY STATE,2029,472020.0
Government Activities,HIGH,2029,514582.0
Riyadh GDP,LOW,2029,1557409.0
Riyadh GDP,STEADY STATE,2029,1685057.0
Riyadh GDP,HIGH,2029,1836996.0
Saudi Arabia GDP,LOW,2029,3940886.0
Saudi Arabia GDP,STEADY STATE,2029,4263887.0
Saudi Arabia GDP,HIGH,2029,4648356.0
"Agriculture, Forestry & Fishing",LOW,2030,68351.0
"Agriculture, Forestry & Fishing",STEADY STATE,2030,74930.0
"Agriculture, Forestry & Fishing",HIGH,2030,82871.0
Mining & Quarrying,LOW,2030,96936.0
Mining & Quarrying,STEADY STATE,2030,106268.0
Mining & Quarrying,HIGH,2030,117529.0
Manufacturing,LOW,2030,191028.0
Manufacturing,STEADY STATE,2030,209417.0
Manufacturing,HIGH,2030,231609.0
"Electricity, Gas and Water",LOW,2030,31242.0
"Electricity, Gas and Water",STEADY STATE,2030,34250.0
"Electricity, Gas and Water",HIGH,2030,37879.0
Construction,LOW,2030,82652.0
Construction,STEADY STATE,2030,90609.0
Construction,HIGH,2030,100210.0
"Wholesale & Retail Trade, Restaurants & hotels",LOW,2030,147453.0
"Wholesale & Retail Trade, Restaurants & hotels",STEADY STATE,2030,161647.0
"Wholesale & Retail Trade, Restaurants & hotels",HIGH,2030,178776.0
"Transport, Storage & Communication",LOW,2030,109869.0
"Transport, Storage & Communication",STEADY STATE,2030,120445.0
"Transport, Storage & Communication",HIGH,2030,133208.0
Real Estate,LOW,2030,127251.0
Real Estate,STEADY STATE,2030,139501.0
Real Estate,HIGH,2030,154283.0
"Finance, Insurance and Business services",LOW,2030,159999.0
"Finance, Insurance and Business services",STEADY STATE,2030,175401.0
"Finance, Insurance and Business services",HIGH,2030,193988.0
"Community, Social & Personal Services",LOW,2030,77768.0
"Community, Social & Personal Services",STEADY STATE,2030,85254.0
"Community, Social & Personal Services",HIGH,2030,94289.0
Government Activities,LOW,2030,445643.0
Government Activities,STEADY STATE,2030,488541.0
Government Activities,HIGH,2030,540311.0
Riyadh GDP,LOW,2030,1590893.0
Riyadh GDP,STEADY STATE,2030,1744034.0
Riyadh GDP,HIGH,2030,1928846.0
Saudi Arabia GDP,LOW,2030,4025615.0
Saudi Arabia GDP,STEADY STATE,2030,4413123.0
Saudi Arabia GDP,HIGH,2030,4880774.0
